Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
eb9d9a29095f23051397c10fc6910ddf	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA	100	100	100	32	32	24	24	GTDB r207
468f12974415836552d443a06e5b11e7	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	100	100	100	100	100	67	58	GTDB r207
62cbc566cc5804cd2929c9b0c57d4292	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA	NA	100	100	100	100	27	27	27	GTDB r207
0b3f2decff3241fe5c1a93cd0f29805b	Bacteria	Bacillota	Bacilli	Staphylococcales	Salinicoccaceae	Salinicoccus	Salinicoccus qingdaonensis	100	100	100	100	100	100	100	GTDB r207
0248ccb2141234516e01667e01ac73bd	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Mariniradius	Mariniradius saccharolyticus	100	100	100	100	100	100	100	GTDB r207
6e1e871b3a24d3d5b0f65aaaa78e4704	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Demequinaceae	Demequina	NA	100	100	100	100	100	100	25	GTDB r207
2ba84946fc0148a0b246bed0f21f55ad	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	UBA233	A05DMB-2	A05DMB-2 sp026014595	86	86	86	86	86	86	86	GTDB r207
c0e73abf6fc4f0c50160ce699e1970e1	Bacteria	NA	NA	NA	NA	NA	NA	100	33	33	33	33	33	33	GTDB r207
7327c68e90f4868dc7d4dccffa834500	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Kocuria	Kocuria rhizophila	100	100	100	100	100	100	85	GTDB r207
36b2e0afb691f98162fb4fa686e0c8cf	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA	100	100	100	100	100	50	50	GTDB r207
f2c2974cff9b079a5a881e41a8f9a7bb	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	UBA4655	UBA4655 sp002405515	100	100	100	100	100	94	94	GTDB r207
3b394acfb5f3d5a37843693cb6de5c3f	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100	24	GTDB r207
2e3a8eeef3f55c950d09ef0b12f46da3	Bacteria	Planctomycetota	UBA1135	UBA2386	UBA2386	NA	NA	100	98	98	98	98	66	66	GTDB r207
70efefb8658b0c2a7177abdc1d08c70a	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	NA	NA	100	100	100	100	100	27	27	GTDB r207
ed4424b4a356751dd4afc39496b1ffb7	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus hominis	100	100	100	100	100	100	100	GTDB r207
d344632a0798badb042913088dd62371	Bacteria	Actinomycetota	Actinomycetes	S36-B12	S36-B12	Mxb001	Mxb001 sp004379115	100	100	100	100	100	100	100	GTDB r207
